Sequence,Ward,Kmeans,Kmeans vectorized,Spectral NN,Spectral SM,Spectral JW,MCL,Score Ward,Score Kmeans,Score Kmeans vectorized,Score Spectral NN,Score Spectral SM,Score Spectral JW,Score MCL
DS-00-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-00-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.904,1,1,1
DS-00-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-00-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-00-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-00-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-00-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.91,0.97,1,1,1
DS-00-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-00-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-00-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.571,1,1,1,1
DS-01-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-01-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-01-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-01-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-01-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-01-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-01-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-01-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-01-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-01-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-02-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-02-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-02-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-02-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-02-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-02-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-02-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-02-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-02-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.932,1,1
DS-02-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-03-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-03-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-03-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-03-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-03-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-03-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-03-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.97,1,1,1
DS-03-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
DS-03-000-0.SP_RS00050,3,10,7,5,4,8,1,1,1,0.65,1,0.968,1,1
DS-03-000-0.SP_RS00055,9,4,1,4,5,7,5,1,1,0.579,1,1,1,1
DS-04-000-0.SP_RS00005,7,9,1,7,8,4,7,1,1,0.6,1,1,1,1
DS-04-000-0.SP_RS00010,6,2,7,10,1,3,10,1,1,0.65,0.984,1,1,1
DS-04-000-0.SP_RS00015,1,8,2,8,3,6,8,1,1,0.992,1,1,0.984,1
DS-04-000-0.SP_RS00020,10,7,8,1,2,9,3,1,1,1,1,1,1,1
DS-04-000-0.SP_RS00025,2,5,3,2,6,1,4,1,1,1,1,1,1,1
DS-04-000-0.SP_RS00030,5,3,5,6,9,5,2,1,1,1,1,0.998,1,1
DS-04-000-0.SP_RS00035,4,6,4,9,7,2,6,1,1,0.978,0.93,1,1,1
DS-04-000-0.SP_RS00040,8,1,6,3,10,10,9,1,1,1,1,1,1,1
